filename,matricula_real,tipo
nocturna/Test1.png,DFC-638-D,nocturna
nocturna/Test2.png,DFC-638-D,nocturna
nocturna/Test3.png,DFC-638-D,nocturna
nocturna/Test4.png,GPU-44-FK,nocturna
nocturna/Test5.png,D38-148-G,nocturna
nocturna/Test6.png,DFC-638-D,nocturna
nocturna/Test7.png,EBU-317-S,nocturna
nocturna/Test8.png,F56-377-N,nocturna
nocturna/Test9.png,FTS-375-G,nocturna
nocturna/Test10.png,PCT-682-F,nocturna
nocturna/Test11.png,PCT-682-F,nocturna
nocturna/Test12.png,PCT-682-F,nocturna
nocturna/Test13.png,HA2-579-P,nocturna
nocturna/Test14.png,HJF-874-C,nocturna
nocturna/Test15.png,PCT-682-F,nocturna
nocturna/Test16.png,SDJ-829-Y,nocturna
nocturna/Test17.png,SDJ-829-Y,nocturna
nocturna/Test18.png,SDJ-829-Y,nocturna
nocturna/Test19.png,SDJ-829-Y,nocturna
nocturna/Test20.png,HTY-929-G,nocturna
nocturna/Test21.png,PFA-971-P,nocturna
nocturna/Test22.png,ABT-570-E,nocturna
nocturna/Test23.png,VFH-030-P,nocturna
nocturna/Test24.png,DFC-638-D,nocturna
nocturna/Test25.png,UXB-638-U,nocturna
nocturna/Test26.png,UX3-513-T,nocturna
nocturna/Test27.png,LLE-886-U,nocturna
nocturna/Test28.png,DFC-638-D,nocturna
nocturna/Test29.png,DFC-638-D,nocturna
nocturna/Test30.png,GPU-44-FK,nocturna
nocturna/Test31.png,DFC-638-D,nocturna
nocturna/Test32.png,GPU-44-FK,nocturna
nocturna/Test33.png,GPU-44-FK,nocturna
nocturna/Test34.png,GW6-18-UW,nocturna
nocturna/Test35.png,ND0-418-P,nocturna
nocturna/Test36.png,DFC-638-D,nocturna
nocturna/Test37.png,RGG-833-Z,nocturna
nocturna/Test38.png,UKF-670-V,nocturna
nocturna/Test39.png,UKL-433-Y,nocturna
nocturna/Test40.png,URK-712-Y,nocturna
nocturna/Test41.png,TZJ-987-B,nocturna
nocturna/Test42.png,UKF-670-V,nocturna
nocturna/Test43.png,GPU-44-FK,nocturna
nocturna/Test44.png,GPU-44-FK,nocturna
nocturna/Test45.png,GPU-44-FK,nocturna
nocturna/Test46.png,GPU-44-FK,nocturna
nocturna/Test47.png,TZW-945-A,nocturna
nocturna/Test48.png,VFH-030-P,nocturna
nocturna/Test49.png,ABT-570-E,nocturna
nocturna/Test50.png,GPU-44-FK,nocturna
diurna/Test51.png,ABT-570-E,diurna
diurna/Test52.png,EBU-317-S,diurna
diurna/Test53.png,ABT-570-E,diurna
diurna/Test54.png,AYT-494-E,diurna
diurna/Test55.png,TMW-227-T,diurna
diurna/Test56.png,TMW-227-T,diurna
diurna/Test57.png,F56-377-N,diurna
diurna/Test58.png,UKF-670-V,diurna
diurna/Test59.png,UKK-511-V,diurna
diurna/Test60.png,EBU-317-S,diurna
diurna/Test61.png,UKK-511-V,diurna
diurna/Test62.png,TZJ-987-B,diurna
diurna/Test63.png,TZJ-987-B,diurna
diurna/Test64.png,UKF-670-V,diurna
diurna/Test65.png,UKF-670-V,diurna
diurna/Test66.png,SDJ-829-Y,diurna
diurna/Test67.png,HML-535-D,diurna
diurna/Test68.png,HA2-579-P,diurna
diurna/Test69.png,PMF-997-Y,diurna
diurna/Test70.png,GW6-18-UW,diurna
diurna/Test71.png,GPU-44-FK,diurna
diurna/Test72.png,DFC-638-D,diurna
diurna/Test73.png,EBU-317-S,diurna
diurna/Test74.png,F56-377-N,diurna
diurna/Test75.png,GPU-44-FK,diurna
diurna/Test76.png,GYR-45-EY,diurna
diurna/Test77.png,PFA-971-P,diurna
diurna/Test78.png,SDJ-829-Y,diurna
diurna/Test79.png,SDJ-829-Y,diurna
diurna/Test80.png,HML-535-D,diurna
diurna/Test81.png,F56-377-N,diurna
diurna/Test82.png,LLE-886-U,diurna
diurna/Test83.png,SDJ-829-Y,diurna
diurna/Test84.png,SDJ-829-Y,diurna
diurna/Test85.png,HJF-874-C,diurna
diurna/Test86.png,PU6-175-K,diurna
diurna/Test87.png,REF-485-C,diurna
diurna/Test88.png,PCT-682-F,diurna
diurna/Test89.png,UKL-433-Y,diurna
diurna/Test90.png,G9U-528-A,diurna
diurna/Test91.png,PCT-682-F,diurna
diurna/Test92.png,EBU-317-S,diurna
diurna/Test93.png,GPU-44-FK,diurna
diurna/Test94.png,TZW-945-A,diurna
diurna/Test95.png,UKF-670-V,diurna
diurna/Test96.png,UKL-433-Y,diurna
diurna/Test97.png,UX3-513-T,diurna
diurna/Test98.png,ND0-418-P,diurna
diurna/Test99.png,RGG-833-Z,diurna
diurna/Test100.png,GPU-44-FK,diurna
